,b5_01
mm12_01,0.7398650680896257
s1111cc,0.53748384988657
s1210,0.4183300132670378
mm9_01,0.2986515020192806
v207,0.25679452346753506
s1322b_01,0.25599390582315446
v841a,0.2406832298136646
v206,0.2384547726296936
v852b,0.231173624699163
s1023ac,0.22568279315949405
v220,0.21594516331335892
v323,0.2061619311037615
s1110d,0.19920476822239888
v770t,0.19330474734538966
v784l,0.19124112549349168
